caseID,year,pikaid,location,date,age,sex,surv,lived_died,julian
39,2004,321,EEE10N28E25,29-Jun-04,a,m,0,died,180
16,2004,330,ECC14S15E0,11-Jun-04,a,m,0,died,162
20,2004,345,ECC15S20W1,12-Jun-04,a,m,0,died,163
31,2004,352,EDD16S8W30,13-Jun-04,a,m,0,died,164
57,2004,361,EEE7N20W5,27-Jul-04,a,f,1,lived,208
254,2005,361,EFF6N15E20,20-Jul-05,a,f,0,died,201
10,2004,382,ECC13N2E8,13-Jun-04,a,f,0,died,164
29,2004,385,EDD16N25W5,12-Jul-04,a,f,0,died,193
7,2004,388,EBB17N25W3,24-Jun-04,a,f,1,lived,175
188,2005,388,EBB16N25E25,4-Aug-05,a,f,0,died,216
46,2004,392,EEE11S11E19,19-Jul-04,a,f,0,died,200
92,2004,394,ELL5N2E3,9-Jul-04,a,f,0,died,190
120,2004,395,WJJ5S2W11,21-Jun-04,a,m,1,lived,172
316,2005,395,WJJ5S2W11,7-Jul-05,a,m,1,lived,188
157,2004,397,WO8S2W15,12-Jul-04,a,f,1,lived,193
355,2005,397,WO8S2W15,6-Jul-05,a,f,1,lived,187
32,2004,399,EDD18N13E4,26-Jun-04,a,f,0,died,177
68,2004,404,EFF7N0W15,14-Jul-04,a,m,1,lived,195
257,2005,404,EFF7N0W15,22-Jun-05,a,m,1,lived,173
3,2004,407,EBB16N22W10,3-Jul-04,j,f,0,died,184
54,2004,408,EEE19N15W5,19-Jul-04,j,unknown,0,died,200
15,2004,409,ECC14S0E15 (cairn),18-Jul-04,j,f,0,died,199
59,2004,410,EEE8S15W25,22-Jul-04,j,f,0,died,203
4,2004,411,EBB16N25E25,3-Jul-04,j,f,0,died,184
25,2004,414,EDD14N2W10,22-Jul-04,j,unknown,0,died,203
40,2004,415,EEE10S10W15,15-Jun-04,a,f,0,died,166
244,2005,415,EEE10S10W15,22-Jun-05,a,f,1,lived,173
104,2004,417,EMM1S20W20,19-Jul-04,j,f,1,lived,200
308,2005,417,EMM1S5W38,24-Jun-05,a,f,0,died,175
74,2004,419,EK7S15W20,29-Jul-04,j,m,0,died,210
83,2004,420,EL12N15W35,29-Jul-04,j,f,1,lived,210
276,2005,420,EK10S15W23,29-Jun-05,a,f,1,lived,180
72,2004,421,EK6N15E15,29-Jul-04,j,m,0,died,210
88,2004,422,ELL1N15E30,9-Aug-04,j,f,1,lived,221
311,2005,422,EMM2S8W30,20-Jul-05,a,f,0,died,201
106,2004,423,EMM1S5W38,14-Aug-04,j,f,0,died,226
77,2004,424,EKK0S17W4,14-Aug-04,j,unknown,0,died,226
19,2004,425,ECC15S15E10,5-Jul-04,j,m,0,died,186
27,2004,426,EDD15N10W5,13-Jun-04,j,m,0,died,164
91,2004,427,ELL4S0W25,30-Jun-04,j,unknown,0,died,181
66,2004,428,EFF6S5W12,27-Jul-04,j,unknown,0,died,208
122,2004,430,WL3S12E15,20-Jul-04,j,f,0,died,201
332,2005,431,WL5S18W10,6-Jul-05,a,unknown,0,died,187
126,2004,432,WL5S15E0,7-Jul-04,a,unknown,0,died,188
137,2004,434,WM4N15W22,1-Aug-04,j,unknown,0,died,213
145,2004,435,WO10N25E15,20-Jul-04,j,m,1,lived,201
360,2005,435,WO10N25E15,22-Jun-05,a,m,1,lived,173
24,2004,436,EDD14N20W15,18-Jul-04,j,m,0,died,199
50,2004,441,EEE13S5W1,13-Aug-04,j,m,0,died,225
172,2004,443,EDD18S20W10,19-Jul-04,j,f,0,died,200
64,2004,447,EFF11S20W10,14-Aug-04,a,f,0,died,226
148,2004,456,WO11N25W7,9-Aug-04,j,m,1,lived,221
367,2005,456,WO12N3E12,27-Jul-05,a,m,0,died,208
150,2004,457,WO13S15W2,10-Aug-04,j,f,1,lived,222
369,2005,457,WO13N10E5,27-Jul-05,a,f,1,lived,208
136,2004,458,WM10S7E4,10-Aug-04,j,f,0,died,222
110,2004,459,ET2N25E15,12-Aug-04,j,m,0,died,224
219,2005,464,EDD16S12W37,24-Jun-05,a,m,0,died,175
270,2005,471,EK7N4E11,29-Jun-05,a,m,1,lived,180
326,2005,472,~EY7 RED STAKE,20-Jul-05,a,unknown,0,died,201
325,2005,473,EY7N10W50,20-Aug-05,a,f,0,died,232
321,2005,474,EX4S20E17,6-Jul-05,a,unknown,0,died,187
324,2005,476,EY7N2E35,20-Aug-05,a,m,0,died,232
317,2005,477,ET2N25E15,20-Jul-05,a,m,1,lived,201
320,2005,478,EX4N8E25,29-Jun-05,a,m,0,died,180
251,2005,486,EEE11S11E19,12-Aug-05,j,f,0,died,224
354,2005,488,WO7S1W25,19-Jul-05,j,f,1,lived,200
242,2005,493,EEE10N11E20,8-Jul-05,j,unknown,1,lived,189
199,2005,495,ECC14N2E3,28-Jul-05,a,f,0,died,209
238,2005,496,EEE8S15W25,8-Jul-05,a,f,0,died,189
249,2005,497,EE10N50W10,29-Jul-05,j,f,1,lived,210
296,2005,498,EKK0S25W10,29-Jul-05,j,m,1,lived,210
352,2005,499,WO7N15E2,19-Jul-05,j,m,1,lived,200
306,2005,500,EMM1S20W20,3-Jul-05,j,m,1,lived,184
274,2005,503,EK8S30W20,28-Jul-05,j,f,0,died,209
281,2005,504,EL9N20W1,29-Jun-05,a,f,1,lived,180
271,2005,505,EK7S25E2,20-Jul-05,a,f,1,lived,201
265,2005,506,EK5N25E5,30-Jul-05,j,m,1,lived,211
264,2005,507,EK5N2E0,30-Jul-05,a,unknown,0,died,211
266,2005,508,EK6N15E15,17-Jul-05,a,m,0,died,198
291,2005,509,EM10S1W3,28-Jul-05,j,m,1,lived,209
289,2005,510,EM9N5E20,12-Jul-05,a,m,1,lived,193
217,2005,512,EDD15S10W12,20-Jul-05,a,f,1,lived,201
246,2005,513,EEE10S25W3,20-Jul-05,j,m,0,died,201
227,2005,514,EEE17S25W7,28-Jul-05,j,m,1,lived,209
192,2005,515,ECC12S15E15,4-Aug-05,a,f,0,died,216
328,2005,516,WL3S5W10,19-Jul-05,a,m,1,lived,200
337,2005,517,WM3N25E18,31-Jul-05,a,m,1,lived,212
302,2005,518,ELL4S0W25,24-Jun-05,j,m,1,lived,175
294,2005,519,WKK1S25W5,31-Jul-05,a,f,1,lived,212
301,2005,520,ELL4N2W27,7-Jul-05,j,f,1,lived,188
280,2005,521,EL8N3E5,28-Jul-05,a,m,0,died,209
283,2005,522,EL11N10W20,20-Jul-05,j,m,1,lived,201
383,2005,523,WS7S25E20,28-Jul-05,a,f,0,died,209
381,2005,524,WS6S1W2,28-Jul-05,j,f,0,died,209
376,2005,525,WS3N10E15,2-Aug-05,j,m,0,died,214
384,2005,526,WS9N2E10 (cairn),28-Jul-05,a,f,0,died,209
388,2005,527,WS12S20E25,28-Jul-05,a,m,1,lived,209
386,2005,528,WS9S30W40,6-Aug-05,a,m,1,lived,218
232,2005,531,EDD6S7E30,1-Aug-05,j,f,0,died,213
343,2005,532,WM10S15W10,14-Jul-05,j,m,1,lived,195
341,2005,533,WM9N0W30,19-Jul-05,j,f,1,lived,200
315,2005,534,WJJ5S15E2,2-Aug-05,a,f,0,died,214
