date,month,time,camera,tripshr
14-Jun-04,June,21,1,2.222222222
14-Jun-04,June,22,1,7
14-Jun-04,June,23,1,11
14-Jun-04,June,24,1,6
15-Jun-04,June,1,1,0
15-Jun-04,June,2,1,2
15-Jun-04,June,3,1,0
15-Jun-04,June,4,1,2
15-Jun-04,June,5,1,13
15-Jun-04,June,6,1,9
15-Jun-04,June,7,1,2
15-Jun-04,June,8,1,5
15-Jun-04,June,9,1,3
15-Jun-04,June,10,1,1
15-Jun-04,June,11,1,0
15-Jun-04,June,12,1,2
15-Jun-04,June,13,1,2
15-Jun-04,June,14,1,1
15-Jun-04,June,15,1,7
15-Jun-04,June,16,1,2
15-Jun-04,June,17,1,1
15-Jun-04,June,18,1,1
15-Jun-04,June,19,1,0
15-Jun-04,June,20,1,0
15-Jun-04,June,21,1,7
15-Jun-04,June,22,1,8
15-Jun-04,June,23,1,15
15-Jun-04,June,24,1,2
16-Jun-04,June,1,1,0
16-Jun-04,June,2,1,0
16-Jun-04,June,3,1,0
16-Jun-04,June,4,1,0
16-Jun-04,June,5,1,2
16-Jun-04,June,6,1,10
16-Jun-04,June,7,1,7
16-Jun-04,June,8,1,9
16-Jun-04,June,9,1,7
16-Jun-04,June,10,1,5
16-Jun-04,June,11,1,4
16-Jun-04,June,12,1,1
16-Jun-04,June,13,1,0
16-Jun-04,June,14,1,7
16-Jun-04,June,15,1,1
16-Jun-04,June,16,1,1
16-Jun-04,June,17,1,1
16-Jun-04,June,18,1,3
16-Jun-04,June,19,1,0
16-Jun-04,June,20,1,0
16-Jun-04,June,21,1,2
16-Jun-04,June,22,1,0
16-Jun-04,June,23,1,6
16-Jun-04,June,24,1,1
17-Jun-04,June,1,1,0
17-Jun-04,June,2,1,0
17-Jun-04,June,3,1,0
17-Jun-04,June,4,1,1
17-Jun-04,June,5,1,9
17-Jun-04,June,6,1,19
17-Jun-04,June,7,1,19
17-Jun-04,June,8,1,11
17-Jun-04,June,9,1,9
17-Jun-04,June,10,1,5
17-Jun-04,June,11,1,0
17-Jun-04,June,12,1,1
17-Jun-04,June,13,1,10
17-Jun-04,June,14,1,0
17-Jun-04,June,15,1,0
17-Jun-04,June,16,1,1
17-Jun-04,June,17,1,0
17-Jun-04,June,18,1,1
17-Jun-04,June,19,1,2
17-Jun-04,June,20,1,0
17-Jun-04,June,21,1,2
17-Jun-04,June,22,1,1
17-Jun-04,June,23,1,2
17-Jun-04,June,24,1,4
18-Jun-04,June,1,1,0
18-Jun-04,June,2,1,0
18-Jun-04,June,3,1,0
16-Jul-04,July,1,1,1
16-Jul-04,July,2,1,0
16-Jul-04,July,3,1,0
16-Jul-04,July,4,1,0
16-Jul-04,July,5,1,0
16-Jul-04,July,6,1,9
16-Jul-04,July,7,1,9
16-Jul-04,July,8,1,5
16-Jul-04,July,9,1,3
16-Jul-04,July,10,1,5
16-Jul-04,July,11,1,0
16-Jul-04,July,12,1,5
16-Jul-04,July,13,1,3
16-Jul-04,July,14,1,0
16-Jul-04,July,15,1,0
16-Jul-04,July,16,1,3
16-Jul-04,July,17,1,2
16-Jul-04,July,18,1,5
16-Jul-04,July,19,1,7
16-Jul-04,July,20,1,7
16-Jul-04,July,21,1,6
16-Jul-04,July,22,1,12
16-Jul-04,July,23,1,9
16-Jul-04,July,24,1,1
18-Aug-04,August,1,1,0
18-Aug-04,August,2,1,0
18-Aug-04,August,3,1,0
14-Jun-04,June,21,2,0
14-Jun-04,June,22,2,7
14-Jun-04,June,23,2,12
14-Jun-04,June,24,2,2
15-Jun-04,June,1,2,0
15-Jun-04,June,2,2,0
15-Jun-04,June,3,2,0
15-Jun-04,June,4,2,0
15-Jun-04,June,5,2,8
15-Jun-04,June,6,2,5
15-Jun-04,June,7,2,4
15-Jun-04,June,8,2,3
15-Jun-04,June,9,2,0
15-Jun-04,June,10,2,0
15-Jun-04,June,11,2,2
15-Jun-04,June,12,2,2
15-Jun-04,June,13,2,0
15-Jun-04,June,14,2,1
15-Jun-04,June,15,2,0
15-Jun-04,June,16,2,0
15-Jun-04,June,17,2,0
15-Jun-04,June,18,2,3
15-Jun-04,June,19,2,2
15-Jun-04,June,20,2,0
15-Jun-04,June,21,2,6
15-Jun-04,June,22,2,5
15-Jun-04,June,23,2,7
15-Jun-04,June,24,2,4
16-Jun-04,June,1,2,0
16-Jun-04,June,2,2,0
16-Jun-04,June,3,2,0
16-Jun-04,June,4,2,0
16-Jun-04,June,5,2,3
16-Jun-04,June,6,2,10
16-Jun-04,June,7,2,5
16-Jun-04,June,8,2,12
16-Jun-04,June,9,2,6
16-Jun-04,June,10,2,7
16-Jun-04,June,11,2,1
16-Jun-04,June,12,2,1
16-Jun-04,June,13,2,0
16-Jun-04,June,14,2,2
16-Jun-04,June,15,2,1
16-Jun-04,June,16,2,0
16-Jun-04,June,17,2,6
16-Jun-04,June,18,2,6
16-Jun-04,June,19,2,2
16-Jun-04,June,20,2,0
16-Jun-04,June,21,2,7
16-Jun-04,June,22,2,9
16-Jun-04,June,23,2,6
16-Jun-04,June,24,2,5
17-Jun-04,June,1,2,0
17-Jun-04,June,2,2,0
17-Jun-04,June,3,2,0
17-Jun-04,June,4,2,0
17-Jun-04,June,5,2,16
17-Jun-04,June,6,2,9
17-Jun-04,June,7,2,14
17-Jun-04,June,8,2,17
17-Jun-04,June,9,2,10
17-Jun-04,June,10,2,2
17-Jun-04,June,11,2,3
17-Jun-04,June,12,2,0
17-Jun-04,June,13,2,5
17-Jun-04,June,14,2,0
17-Jun-04,June,15,2,1
17-Jun-04,June,16,2,1
17-Jun-04,June,17,2,1
17-Jun-04,June,18,2,0
17-Jun-04,June,19,2,4
17-Jun-04,June,20,2,6
17-Jun-04,June,21,2,3
17-Jun-04,June,22,2,2
17-Jun-04,June,23,2,1
17-Jun-04,June,24,2,3
18-Jun-04,June,1,2,0
18-Jun-04,June,2,2,0
18-Jun-04,June,3,2,2
12-Jul-04,July,16,2,0
12-Jul-04,July,17,2,3
12-Jul-04,July,18,2,1
12-Jul-04,July,19,2,1
12-Jul-04,July,20,2,6
12-Jul-04,July,21,2,11
12-Jul-04,July,22,2,16
12-Jul-04,July,23,2,3
12-Jul-04,July,24,2,12
13-Jul-04,July,1,2,0
13-Jul-04,July,2,2,0
13-Jul-04,July,3,2,0
13-Jul-04,July,4,2,3
13-Jul-04,July,5,2,0
13-Jul-04,July,6,2,0
13-Jul-04,July,7,2,6
13-Jul-04,July,8,2,5
13-Jul-04,July,9,2,7
13-Jul-04,July,10,2,1
13-Jul-04,July,11,2,2
13-Jul-04,July,12,2,14
13-Jul-04,July,13,2,5
13-Jul-04,July,14,2,2
13-Jul-04,July,15,2,3
13-Jul-04,July,16,2,7
13-Jul-04,July,17,2,8
13-Jul-04,July,18,2,9
13-Jul-04,July,19,2,2
13-Jul-04,July,20,2,7
13-Jul-04,July,21,2,6
13-Jul-04,July,22,2,4
13-Jul-04,July,23,2,7
13-Jul-04,July,24,2,0
14-Jul-04,July,1,2,0
14-Jul-04,July,2,2,0
14-Jul-04,July,4,2,0
14-Jul-04,July,5,2,1
14-Jul-04,July,6,2,5
14-Jul-04,July,7,2,8
14-Jul-04,July,8,2,2
14-Jul-04,July,9,2,9
14-Jul-04,July,10,2,2
14-Jul-04,July,11,2,2
14-Jul-04,July,12,2,2
14-Jul-04,July,13,2,5
14-Jul-04,July,14,2,3
14-Jul-04,July,15,2,12
14-Jul-04,July,16,2,4
14-Jul-04,July,17,2,3
14-Jul-04,July,18,2,5
14-Jul-04,July,19,2,7
14-Jul-04,July,20,2,16
14-Jul-04,July,21,2,8
14-Jul-04,July,22,2,3
14-Jul-04,July,23,2,7
14-Jul-04,July,24,2,11
15-Jul-04,July,1,2,2
15-Jul-04,July,2,2,0
15-Jul-04,July,4,2,0
15-Jul-04,July,5,2,0
15-Jul-04,July,6,2,8
15-Jul-04,July,7,2,3
15-Jul-04,July,8,2,19
15-Jul-04,July,9,2,13
15-Jul-04,July,10,2,17
15-Jul-04,July,11,2,17
15-Jul-04,July,12,2,10
15-Jul-04,July,13,2,9
15-Jul-04,July,14,2,10
15-Jul-04,July,15,2,3
15-Jul-04,July,16,2,16
15-Jul-04,July,17,2,7
15-Jul-04,July,18,2,7
15-Jul-04,July,19,2,11
15-Jul-04,July,20,2,0
15-Jul-04,July,21,2,7
15-Jul-04,July,22,2,6
15-Jul-04,July,23,2,5
15-Jul-04,July,24,2,4
16-Jul-04,July,1,2,1
16-Jul-04,July,2,2,0
16-Jul-04,July,3,2,0
16-Jul-04,July,4,2,1
16-Jul-04,July,5,2,0
16-Jul-04,July,6,2,6
16-Jul-04,July,7,2,4
16-Jul-04,July,8,2,6
16-Jul-04,July,9,2,7
16-Jul-04,July,10,2,1
16-Jul-04,July,11,2,3
16-Jul-04,July,12,2,0
16-Jul-04,July,13,2,3
16-Jul-04,July,14,2,0
16-Jul-04,July,15,2,0
16-Jul-04,July,16,2,4
16-Jul-04,July,17,2,1
16-Jul-04,July,18,2,3
16-Jul-04,July,19,2,1
16-Jul-04,July,20,2,4
16-Jul-04,July,21,2,10
16-Jul-04,July,22,2,12
16-Jul-04,July,23,2,4
16-Jul-04,July,24,2,0
7-Aug-04,August,14,2,8.571428571
7-Aug-04,August,15,2,9
7-Aug-04,August,16,2,5
7-Aug-04,August,17,2,3
7-Aug-04,August,18,2,10
7-Aug-04,August,19,2,1
7-Aug-04,August,20,2,0
7-Aug-04,August,21,2,5
7-Aug-04,August,22,2,2
7-Aug-04,August,23,2,5
7-Aug-04,August,24,2,3
8-Aug-04,August,1,2,0
8-Aug-04,August,2,2,0
8-Aug-04,August,3,2,1
8-Aug-04,August,4,2,0
8-Aug-04,August,5,2,0
8-Aug-04,August,6,2,4
8-Aug-04,August,7,2,7
8-Aug-04,August,8,2,5
8-Aug-04,August,9,2,2
8-Aug-04,August,10,2,3
8-Aug-04,August,11,2,5
8-Aug-04,August,12,2,3
8-Aug-04,August,13,2,3
8-Aug-04,August,14,2,1
8-Aug-04,August,15,2,2
8-Aug-04,August,16,2,2
8-Aug-04,August,17,2,1
8-Aug-04,August,18,2,1
8-Aug-04,August,19,2,0
8-Aug-04,August,20,2,4
8-Aug-04,August,21,2,3
8-Aug-04,August,22,2,5
8-Aug-04,August,23,2,7
8-Aug-04,August,24,2,1
9-Aug-04,August,1,2,1
9-Aug-04,August,2,2,1
9-Aug-04,August,3,2,1
9-Aug-04,August,4,2,0
9-Aug-04,August,5,2,3
9-Aug-04,August,6,2,0
9-Aug-04,August,7,2,11
