julian,year,ad.cum,juv.cum,all.cum
173,2005,7.317073171,0,4.545454545
175,2005,12.19512195,4,9.090909091
180,2005,21.95121951,4,15.15151515
184,2005,21.95121951,8,16.66666667
187,2005,29.26829268,8,21.21212121
188,2005,31.70731707,12,24.24242424
189,2005,34.14634146,16,27.27272727
193,2005,36.58536585,16,28.78787879
195,2005,36.58536585,20,30.3030303
198,2005,39.02439024,20,31.81818182
200,2005,41.46341463,32,37.87878788
201,2005,56.09756098,40,50
208,2005,60.97560976,40,53.03030303
209,2005,75.6097561,64,71.21212121
210,2005,75.6097561,72,74.24242424
211,2005,78.04878049,80,78.78787879
212,2005,82.92682927,80,81.81818182
213,2005,82.92682927,84,83.33333333
214,2005,85.36585366,88,86.36363636
216,2005,92.68292683,92,92.42424242
218,2005,95.12195122,92,93.93939394
221,2005,95.12195122,96,95.45454545
224,2005,95.12195122,100,96.96969697
232,2005,100,100,100
